message,action
Do you know what time it is?,TIME
Tell me a joke that makes me laugh,JOKE
How's the weather like,WEATHER
what is the current time,TIME
"Can I order a pizza for delivery?
",PIZZA
I want pizza,PIZZA
Can I have a slice of pizza?,PIZZA
What is the weather like today,WEATHER
Would you please tell me a joke,JOKE
What is the time,TIME
Tell me a joke,JOKE
What is going on?,GREET
What time is it now?,TIME
What is the weather like tomorrow?,WEATHER
How was the weather like yesterday?,WEATHER
I want a funny joke,JOKE
Can I order a pizza for pickup?,PIZZA
Do you have the time,TIME
What time is it,TIME
can you tell me the time,TIME
WEATHER,WEATHER
What is the joke for today?,JOKE
Halo,GREET
Is it hot out?,WEATHER
Please me tell me a joke,JOKE
Can you tell me a hilarious joke?,JOKE
What size of pizza do you like?,PIZZA
What type of pizza do you like?,PIZZA
Can you tell a funny joke?,JOKE
What's up,GREET
what is the time,TIME
May I order a cheese pizza?,PIZZA
What time is it right now?,TIME
Is it going to snow tomorrow?,WEATHER
Can I order a pizza,PIZZA
Hi,GREET
What's going on?,GREET
Is it cold out?,WEATHER
Can you tell me the time?,TIME
Is it going to rain?,WEATHER
How are you?,GREET
Tell me a joke,JOKE
"hey, what is up.",GREET
Do you know any good jokes?,JOKE
thats not very funny,JOKE
Good night,GREET
what do you want on your pizza,PIZZA
What time is it,TIME
tell me the weather,WEATHER
I want a pizza,PIZZA
はじめまして,GREET
Hi,GREET
"for pizza crust, we have new york, new england greek style, grilled, deep dish, stuffed, cast iron, flatbread, cracker crust, st.louis, whole wheat, multigrain, romana, neapolitan, sicilian, neo-neapolitan and detroit.",PIZZA
make me laugh,JOKE
I'm finished.,WEATHER
When is supper?,TIME
can you give me the weather report?,WEATHER
What's the weather like?,WEATHER
What time is it right now?,TIME
Please wake me up at six o’clock tomorrow morning,TIME
what's for lunch?,PIZZA
What time is it?,TIME
Pizza chain reviews,PIZZA
what's the weather like,WEATHER
Does your clock tell you the right time? It is slow.,TIME
Hello there!,GREET
Happy Birthday!,GREET
"i like the spring in guangzhou, it is usually breezy and not too hot.",WEATHER
make me laugh Jarvis,JOKE
please find a funny joke over the internet,JOKE
give me pizza,PIZZA
I like the pizza with cheese and pepperoni on the top,PIZZA
She's a funny person,JOKE
how much shall we tip the waiter?,PIZZA
PIZZA,PIZZA
What time is it?,TIME
order a pizza,PIZZA
get and eat some pizza,PIZZA
I presented a seminar yesterday,TIME
Its a quarter past midnight,TIME
how are you doing,GREET
It's very humid in Luisiana,WEATHER
Where can I get a pizza?,PIZZA
What's the temperature?,WEATHER
You're silly.,JOKE
"hello, its been quite a long time since Ive talked to you!",GREET
Sayonara,GREET
what year is this year,TIME
Hey there!,GREET
What time is it,TIME
It's already 10 o'clock,TIME
What is the time?,TIME
what is the hour,TIME
what time shall we meet tomorrow? we need to make an appointment today.,TIME
I can only eat one more slice,PIZZA
Do you like pizza?,JOKE
nice to meet you,GREET
What time is it going to snow?,TIME
hey,GREET
How's the weather? The temperature is minus ten.,WEATHER
hi,GREET
That's the funniest thing I've ever heard,JOKE
Welcome back to work! I hope you had a wonderful vacation.,GREET
It's nice and sunny,WEATHER
how have you been,GREET
Pizza is my favorite food to eat.,PIZZA
Hello,GREET
Good morning Jarvis!,GREET
they serve refreshments in the seminar,PIZZA
what time is it,TIME
"jarvis, do you know a joke?",JOKE
hey,GREET
What time is it?,TIME
I have no time for this right now,TIME
Are you hungry for pizza,PIZZA
go say hello,GREET
When's my class tomorrow?,TIME
How's your day going?,GREET
i do not want to live in a place where there is typhoon or sandstorm.,WEATHER
That wind is cold.,WEATHER
Do you have emotions?,JOKE
Bonjour,GREET
how do you do?,GREET
Talking a lot of jokes doesn't mean a sense of humor,JOKE
How do you make a hormone?,JOKE
"What's up, dude",GREET
what time will they be here,TIME
how's the weather,WEATHER
What kind of pizza do they have?,PIZZA
Tell us a joke to liven things up.,JOKE
You are always kidding around.,JOKE
What time does the sun rise,TIME
the time today is going fast,TIME
Welcome to my home,GREET
What time is it?,TIME
you can have the last piece of pizza,PIZZA
Bye bye,GREET
It’s nice to meet you.,GREET
Are you male or female?,JOKE
What time,TIME
pizza is so delicious!,PIZZA
whats the current time,TIME
what's for dinner?,PIZZA
how are you doing,GREET
It was only a practical joke,JOKE
It is cloudy and windy.,WEATHER
What time is it?,TIME
it's half past three,TIME
the average annual precipitation is 36.8 inches.,WEATHER
Impress me.,JOKE
Hajimemashite,GREET
it's early,TIME
What time is it?,TIME
the pizza is delicious and tasty without cheese,PIZZA
i know how to make the ham pizza,PIZZA
"typical slangs for greeting includes: yo, howdy, sup, whazzup, g’day mate, hiya.",GREET
Many people lost their homes because of Hurricane Katrina,WEATHER
Good morning,GREET
is there a pizza place nearby?,PIZZA
Do I need an umbrella today?,WEATHER
Hey Jarvis I'm having a great day.,GREET
Can you get me some pizza?,PIZZA
what is the weather like,WEATHER
It is a pleasure to be in touch with you again.,GREET
"There are only two hours and five minutes left, I have to arrive at 7:00pm.",TIME
howdy,GREET
good afternoon,GREET
When is the party,TIME
it is sunny outside.,WEATHER
"hi, my name is lily.",GREET
I want food!,PIZZA
How are you?,GREET
"Hello, Jarvis!",GREET
Are you a comedian?,JOKE
"Hey, what's going on",GREET
"A statistician, data scientist, and machine learner walk into a bar",JOKE
this is a joyful event. everyone are smiling.,JOKE
Do I need my rain coat?,WEATHER
"knock knock, who's there",JOKE
It's a beautiful day for a hike.,WEATHER
Is it going to snow today?,WEATHER
second,TIME
How is it going?,GREET
what is the flovor of pizza?,PIZZA
Hola,GREET
I was joking,JOKE
the weather forecast says there is going to be a thunderstorm later.,WEATHER
hi how are you,GREET
Is it cold outside?,WEATHER
What's up,GREET
i'm hungry for pizza,PIZZA
it's drizzling cold,WEATHER
when did you start it that afternoon,TIME
how is it outside,WEATHER
What's the forecast for tomorrow,WEATHER
"New York uses Eastern Daylight Time Zone right now, which is UTC-05:00",TIME
"sorry, we do not offer home delivery for the pizza.",PIZZA
shall we order a pizza?,PIZZA
It's cold in here!,WEATHER
i cannot stop laughing.,JOKE
tell me something funny,JOKE
Why did the chicken cross the road?,JOKE
I'm hungry,PIZZA
It's very hot in India,WEATHER
School is canceled because of snow storm; I love snow days.,WEATHER
it's a quarter to seven,TIME
It might snow today,WEATHER
You crack me up.,JOKE
time,TIME
Yo,GREET
How's it going,GREET
good afternoon,GREET
What is it like outside,WEATHER
i like jokes,JOKE
"Hello, how are you? I hope you are healthy and happy.",GREET
Nice to see you!,GREET
"Lovely morning, isn't it?",GREET
When is the sun going to come out,WEATHER
What time is it?,TIME
Time?,TIME
How's it going?,GREET
Are you alright,GREET
I'd like some food,PIZZA
what time will you be here,TIME
what month is this month,TIME
weather forecast is for showers and overcast skies,WEATHER
Is it going to rain today?,WEATHER
nice to meet you,GREET
is it hot,WEATHER
i want to giggle,JOKE
thats a great joke!,JOKE
"Can we order a pizza, please?",PIZZA
hows's the weather,WEATHER
my friend Alice tells the best jokes,JOKE
Look at that sun shine,WEATHER
What do you want on your flatbread.,PIZZA
What is filled with holes but still holds water?,JOKE
He bridged a gap in the conversation by telling a joke.,JOKE
"for pizza topping, we have pepperoni, mushrooms, onions, sausage, bacon, extra cheese, black olives, green peppers, pineapple and spinach.",PIZZA
The will come out tomorrow,WEATHER
"hey, hows it going?",GREET
What's the John Dory,GREET
It's supposed to clear up later.,WEATHER
Will it snow much this winter,WEATHER
what is the time,TIME
Donald Trump,JOKE
It is time for class,TIME
I love pizza,PIZZA
Pizza isn't very healthy to be honest,PIZZA
good morning,GREET
"Some possible topping options include sausage, pineapple, broccoli, anchovies, bacon, and ham",PIZZA
whats the weather,WEATHER
"It’s pretty cloudy outside, I’d better take an umbrella.",WEATHER
Greetings to you and your family.,GREET
I'm sick of this diet,PIZZA
i was busy yesterday.,TIME
You can also get veggies on your pizza!,PIZZA
Hey,GREET
It is snowing heavily these days. We are going to have a perfect ski season.,WEATHER
can you give me the weather,WEATHER
are you hungry?,PIZZA
Do you have the time please,TIME
do you have a watch？,TIME
Hello,GREET
I think its going to be rainy,WEATHER
Will it be nice today?,WEATHER
"there are seven days in a week: monday, tuesday, wednesday, thursday, friday, saturday and sunday.",TIME
Its way too early in the morning,TIME
"Hi, how are you",GREET
Can you tell me the time right now?,TIME
hello Jarvis,GREET
hi,GREET
hheeeeyyyy,GREET
What’s the special pizza for dinner?,PIZZA
What time is it?,TIME
what's your name?,GREET
What time is my class today?,TIME
My joke made everybody laugh.,JOKE
It's hilarious funny,JOKE
How many workers does it take to screw in a lightbulb?,JOKE
he is so witty that i am always happy when staying with him.,JOKE
the sky is overcast,WEATHER
"He was so funny, he made us scream with laughter.",JOKE
What time do the malls open?,TIME
"during summer, the average temperature is around 70 degree f or 21 degree c.",WEATHER
Who loves Jarvis?,JOKE
Are you handsome?,JOKE
Time in India?,TIME
What's the time?,TIME
how are you doing jarvis?,GREET
Let us play a joke on him.,JOKE
can you get me some pizza,PIZZA
I dont know the time unfortunately,TIME
whats up jarvis?,GREET
Hey! I am the conversation robot Jarvis.,GREET
good afternoon,GREET
quartz clock is usually accurate.,TIME
My favorite food is pizza!,PIZZA
Can you tell me the time right now?,TIME
how is it going,GREET
What is the time?,TIME
it usually starts to get cold and snow after halloween.,WEATHER
What is your favorite time of day,TIME
What do robots eat?,JOKE
"i did a lot of things in the morning, at noon, in the afternoon, in the evening, at night and even midnight.",TIME
I like pizza with a thick crust but I also like the crust to be somewhat crunchy.,PIZZA
joke,PIZZA
Are you in love?,JOKE
I'm just joshin,JOKE
Diners near me,PIZZA
pizza is good,PIZZA
It looks like it's about to rain,WEATHER
what are the weather conditions,WEATHER
what are the conditions outside,WEATHER
Joke can make you laugh,JOKE
how do you do,GREET
PIZZA,PIZZA
how are you,GREET
"hello jarvis, my name is David",GREET
would you like something to eat?,PIZZA
that is a funny story.,JOKE
When will you come in the afternoon today?,TIME
what time is it now?,TIME
is it sunny outside?,WEATHER
gimme pizza,PIZZA
give me a joke,JOKE
tell me a joke,JOKE
Is time relative,TIME
Do you know what time it is?,TIME
Robots can't eat pizza.,PIZZA
Winter is coming; it will be very cold this year.,WEATHER
how are you,GREET
time,TIME
I want to eat,PIZZA
He is always so sarcastic,JOKE
How is your day going?,GREET
My favorite kind of pizza is pepperoni pizza.,PIZZA
how's life,GREET
Get me the temperature,WEATHER
He knows a lot of jokes,JOKE
how is pizza?,PIZZA
there are a lot of great italian restaurants here that have delicious pizza.,PIZZA
it is nice to meet you.,GREET
Hey! I am Jarvis.,GREET
the pizza base retains crispness,PIZZA
Want to hear a joke,JOKE
"don’t be mad, i am only joking.",JOKE
hi,GREET
i want pizza,PIZZA
it is partly cloudy,WEATHER
Get me some pizza,PIZZA
"my stove is not working, i cannot cook the pizza.",PIZZA
what time is it right now?,TIME
There is a warm breeze from the south.,WEATHER
Do they make gluten free pizza?,PIZZA
It's sunny outside right now.,WEATHER
What's the forecast?,WEATHER
how's your day?,GREET
weather forecast please,WEATHER
what do you do this evening,TIME
say something funny!,JOKE
Are you serious,JOKE
weather,JOKE
What time is the seminar tomorrow?,TIME
It's kinda cold today,WEATHER
it's a funny joke,JOKE
It's rainy yesterday,WEATHER
good morning.,GREET
Please order me a pizza,PIZZA
It is a beautiful day,WEATHER
What is your favorite kind of pizza,PIZZA
"Hey, How’s it going?",GREET
pleased to meet you,GREET
"there are twelve months in a year: january, february, march, april, may, june, july, august, september, october, november, december.",TIME
do you have the time,TIME
in warm weather you can wear cool and comfortable clothing,WEATHER
what up,GREET
How are you doing?,GREET
What time is it?,TIME
Greetings,GREET
Whats the weather like up there?,WEATHER
We'll have a big snow tomorrow,WEATHER
i love hearing jokes,JOKE
Namastey,GREET
you and i can send out for a pizza,PIZZA
what's the time,TIME
can you tell me the time right now,TIME
So a man and his parrot walk into a bar...,JOKE
Bonjour,GREET
How’s your day going?,GREET
"Papa John's pizza is a really famous place for pizza, but I prefer to the Dominos",PIZZA
time to greet the freshmen!,GREET
give me the weather,WEATHER
How are you doing?,GREET
i want to eat some pizza,PIZZA
Time please.,TIME
I like eating pizza for lunch because it tastes good.,PIZZA
"It might snow, but Im not entirely sure",WEATHER
how long does it take,TIME
Find some Jokes for me please,JOKE
Is it going to rain today?,WEATHER
it is hot out,WEATHER
Bye,GREET
where is a good restaurant?,PIZZA
Do you like pizza,PIZZA
what's the temperature outside,WEATHER
This weather is so nice!,WEATHER
I'm hungry,PIZZA
nock nock,JOKE
get me some pizza,PIZZA
Do you like calzones.,PIZZA
Suprise me.,JOKE
do you know something funny?,JOKE
the pizza will be here in a moment,PIZZA
The joke really cracked us up.,JOKE
What time is it?,TIME
is it a joke in incredibly poor taste,JOKE
"Jarvis, what time is it?",TIME
the chosen joke is no longer just a joke,JOKE
how can i share a pizza with you,PIZZA
What is the temperature outside.,WEATHER
time,TIME
Do you want to order the meat one or veggie one,PIZZA
it it going to freeze tonight?,WEATHER
I like pizza,PIZZA
greet,GREET
Is it supposed to be sunny today?,WEATHER
Good bye,GREET
"Hi, what’s up?",GREET
Until when did this class last yesterday?,TIME
Will it rain tomorrow?,WEATHER
it's rainy raining wet damp,WEATHER
You can order the pizza online and choose either delivery or carry out,PIZZA
The wind is very strong and the thunder is loud.,WEATHER
What time is it?,TIME
What time is it?,TIME
hello,GREET
What time is it?,TIME
what's the time right now?,TIME
make me giggle,JOKE
"Hello ladies and gentlemen, boys and girls",GREET
what time is it,TIME
do you have any jokes,JOKE
Do you happen to have the time?,TIME
What's the time?,TIME
"hey, nice to see you again",GREET
Why do you like that wet bread?,PIZZA
moment,TIME
It's really hot today,WEATHER
Do you have the time Jarvis?,TIME
it is cold out,WEATHER
what's up,GREET
"hello jarvis, my name is David",GREET
where did the time go,TIME
tell me the time,TIME
Get some pizza for me,PIZZA
The humidity is a little low today,WEATHER
"knock, knock",JOKE
Will it be rainy today?,WEATHER
"Today is October 22, 2016",TIME
what time is it now,TIME
"i usually wakes up at 7 am o’clock sharp, and go to bed around 11 pm o’clock.",TIME
It's sunny today,WEATHER
Hello Jarvis,GREET
i'd like to hear a joke,JOKE
What's up?,GREET
the weather is good unkind bad and unpredictable,WEATHER
Pizza is my favorite food,PIZZA
It’s so hot outside! I sweated like a dog!,WEATHER
Good evening,GREET
Do you like pizza?,PIZZA
give me the time,TIME
can you tell me the time,TIME
How's it going today,GREET
Hi there,GREET
I don't enjoy the rainy season.,WEATHER
What were you doing this time last year?,TIME
I'd like to have some pizza for the dinner,PIZZA
I'm joking,JOKE
Restaurant reviews,PIZZA
What time is it?,TIME
"Hello, Jarvis",GREET
greetings earthlings!,GREET
how are you doing today?,GREET
I get a pizza delivery from the nearest Leonardo’s Pizza.,PIZZA
it is hilarious.,JOKE
tell me something funny,JOKE
"It’s so sunny outside, not a cloud in the sky.",WEATHER
"It rained heavily a few minutes ago, I can see a rainbow now.",WEATHER
tell me a joke,JOKE
tell me a joke,JOKE
"I’m good, what about you?",GREET
What's up,GREET
'I Started a Joke' -  The Bee Gees,JOKE
Is it hot outside?,WEATHER
What's the weather?,WEATHER
Italians make great pizza,PIZZA
I cant wait until the pizza man arrives,PIZZA
Hola,GREET
tell me a good joke please!,JOKE
what's it like out there,WEATHER
I don't like this weather. It's too cold,WEATHER
Long time no see,GREET
How's the weather,WEATHER
it is quite cloudy with scattered shower.,WEATHER
What time is it?,TIME
"Pizza is an oven-baked flatbread typically topped with a tomato sauce, cheese and various toppings.",PIZZA
I forgot to eat!,PIZZA
Top of the morning to you.,GREET
Time?,TIME
"Jarvis, what time is it?",TIME
They usually serve pizza for seminars in our dept.,PIZZA
Do you know a joke?,JOKE
Want to make some pizza at my house,PIZZA
get me pizza,PIZZA
My watch has stopped. Could you please tell me the time?,TIME
it's late midnight now,TIME
Good afternoon,GREET
merry christmas and happy new year.,GREET
Hello,GREET
"Jarvis, what's current time?",TIME
Why do people talk about the weather so often,WEATHER
What does Gary say it is going to be like today.,WEATHER
I'd like to have a piece of pizza. For here or to go?,PIZZA
What's the time,TIME
do you want to eat some pizza,PIZZA
What toppings do you like on your pizza,PIZZA
it is sunny out,WEATHER
can you talk about the weather,WEATHER
i joke with you,JOKE
good night,GREET
i use packets of pizza dough mix,PIZZA
how are you,GREET
Where is the closest pizza store to me?,PIZZA
I'd like to order a pizza,PIZZA
I get to work early in themorning at 6:50am,TIME
Haha for this joke,JOKE
Can I have some pizza,PIZZA
"I like cheese, mushrooms, and chicken on mine.",PIZZA
whats up,GREET
good morning,GREET
Its 3pm in the afernoon,TIME
long time no see,GREET
it's been a while,GREET
What time do you go to sleep,TIME
What's your name?,GREET
Do you have a sense of humor?,JOKE
knock knock. whos there?,JOKE
How hot is it supposed to be.,WEATHER
where can I get Pizza nearby?,PIZZA
Are you a boy or a girl?,JOKE
That is a hilarious joke.,JOKE
the breeze is blowing,WEATHER
say something funny,JOKE
It's very nice out today,WEATHER
weather,WEATHER
It'll rain tomorrow,WEATHER
is the pizza fresh?,PIZZA
What's the funniest joke of all time?,JOKE
what day is yesterday,TIME
The moon pales the stars with her brilliance,WEATHER
you are joking,JOKE
TIME,TIME
Are you hungry?,JOKE
What time is the movie.,TIME
make me laugh,JOKE
What's the forecast for today.,WEATHER
Can we meet early morning the day after tomorrow,TIME
what an amusing joke.,JOKE
How's it going?,GREET
What day is it today,TIME
Time flies when youre having fun!,TIME
can you tell me the time?,TIME
i want to laugh,JOKE
jokes can help us relieve our pressure.,JOKE
i sleep by night,TIME
Nice to meet you,GREET
Hi how's it hanging?,GREET
What's the time?,TIME
What kind of the sauces do you like,PIZZA
where can I find food?,PIZZA
"there are seven days in a week: monday, tuesday, wednesday, thursday, friday, saturday and sunday.",TIME
hello,GREET
Do we get Pizza at SCRAPS tomorrow?,PIZZA
How many slices of pizza can you eat,PIZZA
i do it as a joke,JOKE
Do you know a Joke?,JOKE
What's new,GREET
it's ten o'clock,TIME
"How about Vegetarian, Meat lover’s or Combination?",PIZZA
"Unfortunately, I am allergic to cheese",PIZZA
please tell the time?,TIME
When should we meet tomorrow,TIME
You wouldn't happen to have the time?,TIME
give me the time,TIME
Is pizza your favorite food,PIZZA
can you tell me the time,TIME
Are you kidding me? That's unbelievable!,JOKE
When do we leave.,TIME
good evening,GREET
hey,GREET
What time does the class start?,TIME
what time was it in the morning,TIME
Seems like the weatherman is never correct in his forecasts,WEATHER
"hello, how are you?",GREET
How are you,GREET
Say something new.,JOKE
My favorite topping on pizza is pepperoni,PIZZA
can I get the time,TIME
You are funny,JOKE
Good Night Jarvis!,GREET
It is a pleasure to be in touch with you again.,GREET
Windy days are best for kiting.,WEATHER
long time no see. how is everything?,GREET
I go home in the evening,TIME
What will the weather be like tomorrow?,WEATHER
wheres the pizza,PIZZA
Find me pizza,PIZZA
What's the time in Burlingnton right now,TIME
Is that today?,TIME
Can we change the subject,JOKE
do you like pizza?,PIZZA
"My favorite toppings on pizza are pepperoni, mushrooms, basil, garlic, pineapple, olive, jalapeno, grilled chicken, meatball, bacon, sausage and mozzarella.",PIZZA
Today's forecast is a high of 55 and partly cloudy.,WEATHER
What's happening with you Jarvis?,GREET
Can you tell me the time right now?,TIME
hi,GREET
My favorite comedian is Chris Rock,JOKE
the jokes got a big laugh,JOKE
When I am bored I enjoy eating pizza.,PIZZA
Are you gonna meet with your boss next Monday,TIME
I'm having the time of my life,TIME
alright,GREET
It's snowing outside!,WEATHER
i work from dawn till dusk,TIME
Do you want pizza for dinner,PIZZA
please tell me the time,TIME
"he finished it in 3 hours, 34 minutes and 2 seconds.",TIME
There was a lot of rain yesterday,WEATHER
greet her with kindness,GREET
I love eating the crusts of this pizza,PIZZA
the pizza will be here soon,PIZZA
would you like to tell some jokes,JOKE
you can go for a pizza,PIZZA
good morning,GREET
where is a good diner?,PIZZA
yo,GREET
"Give me some pizza, please.",PIZZA
Can you tell me the time?,TIME
Have a great weekend,GREET
Get some pizza for me,PIZZA
The trick to telling jokes is to nail the punchline,JOKE
How do you do,GREET
"Jarvis, do you know what the weather's going to do?",WEATHER
joke,JOKE
I'll be very windy tomorrow,WEATHER
I cant stop laughing at the joke!,JOKE
The winter's coming,WEATHER
good to see you,GREET
What time does the pizza place close?,TIME
What's your favorite food?,JOKE
Which pizza crust do you like? Hand tossed or crunchy thin crust,PIZZA
Clouds had come down and it was starting to drizzle,WEATHER
"do you know how old he is, which year he was born, and his birthday?",TIME
how are you?,GREET
How have you been?,GREET
I ended off his talk with a funny joke.,JOKE
make me laugh,JOKE
lets get food,PIZZA
be humorous,JOKE
yo,GREET
how how it is it,WEATHER
i want food,PIZZA
lets get delivery,PIZZA
order me pizza please,PIZZA
do i need a jacket,WEATHER
make me laugh,JOKE
im hungry,PIZZA
feed me,PIZZA
temperature,WEATHER
is it cold?,WEATHER
How late is it?,TIME
time,TIME
be funny,JOKE
sup g,GREET
how cold is it,WEATHER
Do you have the time?,TIME
tell me a joke,JOKE
hey,GREET
do you know any jokes,JOKE
is it warm?,WEATHER
lets laugh,JOKE
Hello Jarvis,GREET
whats the time,TIME
when should we,TIME
joke,JOKE
pizza,PIZZA
How early is it?,TIME
lets get pizza,PIZZA
hi jarvis,GREET
Robots will never take over the world. Give up now.,GREET
lets hear a joke,JOKE
whats the temperature,WEATHER
i want pizza,PIZZA
whats the temp,WEATHER
What time is it?,TIME
when do we have to,TIME
whats the weather,WEATHER
do you have a sense of humor,JOKE
sometime in July is when the test it,TIME
hey man!,GREET
when?,TIME
how is it going?,GREET
I need a new funny joke,JOKE
"""Jarvis, pull up the weather report",WEATHER
at what time exactly?,TIME
In the past or future?,TIME
its good to see you again,GREET
why did the chicken cross the road?,JOKE
the pizza cost me $19.95,PIZZA
whats the temperature,WEATHER
What do you call a penguin that fell down the stairs?,JOKE
i need to be put in a better mood,JOKE
Whats cracking?,GREET
what is the chance it will rain today?,WEATHER
get me pizza,PIZZA
It was so hot out at the beach today!,WEATHER
Long time no see,GREET
my alarm is set for 7:49 a.m.,TIME
at what hour,TIME
"""I was born 1995, in September",TIME
how close is that hurricane?,WEATHER
what time is it,TIME
Do i need to wear a raincoat or is it sunny outside?,WEATHER
is the pizza ready yet?,PIZZA
tell me a good joke,JOKE
pull up that pizza recipe,PIZZA
what going on!,GREET
can I get a slice of that?,PIZZA
I need to work on my comedic presence,JOKE
what toppings do you like?,PIZZA
what's up?,GREET
is it a nice day or a bad day outside?,WEATHER
can you tell me the time right now?,TIME
whats new?,GREET
Good morning!,GREET
can you make me laugh,JOKE
why was six afraid of seven?,JOKE
whats the wind chill today?,WEATHER
forcast for today,WEATHER
tell me a joke jarvis,JOKE
order pizza,PIZZA
how are you jarvis,GREET
i want pizza,PIZZA
id like to know the weather jarvis,WEATHER
whats the weather like jarvis,WEATHER
weather,WEATHER
jarvis time,TIME
forcast,WEATHER
pizza,PIZZA
whats up,GREET
could you tell me the time,TIME
please get me a pizza,PIZZA
hey jarvis,GREET
when,TIME
what time is it jarvis,TIME
funny,JOKE
tell me the weather,WEATHER
order me a pizza,PIZZA
please time me,TIME
what time is it,TIME
time,TIME
wether,WEATHER
joke,JOKE
get a pizza,PIZZA
tell me the time,TIME
say something funny,JOKE
hi,GREET
how is your day going jarvis?,GREET
whats the temperature,WEATHER
tell me a joke jarvis,JOKE
whats the weather like jarvis,WEATHER
hello jarvis,GREET
whats funny,JOKE
tell me dat time,TIME
heyo,GREET
please pizza me,PIZZA
place an order,PIZZA
joke with me,JOKE
It's good to see you!,GREET
"Hey, how are you?",GREET
Good morning.,GREET
"Tell me the time, please.",TIME
"Make a joke, please.",JOKE
Say something to make me laugh.,JOKE
What is the weather like outside?,WEATHER
I need you to order a pizza.,PIZZA
Get me a large pepperoni and wings.,PIZZA
Go order a pizza.,PIZZA
Please inform me of the current temperature.,WEATHER
What is the current time?,TIME
Tell me a joke.,JOKE
Is it snowing now?,WEATHER
I'd really like you to get a medium cheese pizza.,PIZZA
Could you tell me the current weather?,WEATHER
Call the pizzeria.,PIZZA
Check the current weather.,WEATHER
What hour is it now?,TIME
Place an order for delivery.,PIZZA
Can you go order a pizza for me?,PIZZA
What time is it?,TIME
Could you order some pizza?,PIZZA
"Yo, how's it going?",GREET
Hello.,GREET
Get me the time.,TIME
Hey there.,GREET
Is it raining outside?,WEATHER
I'm bored. Got any good jokes?,JOKE
"Hi, how have you been?",GREET
Go check the time.,TIME
Say a funny joke!,JOKE
When is it?,TIME
Can you tell me a joke?,JOKE
How is it going?,GREET
Hello.,GREET
Pepperoni pizza is very salty.,PIZZA
what time is it now?,TIME
eating the pizza,PIZZA
time is money.,TIME
How's the weather in Boston?,WEATHER
Was that a joke?,JOKE
Long time no see.,GREET
"""Great weather, isn't it?",WEATHER
domino's pizza is delicious.,PIZZA
tell a joke.,JOKE
"""If you canâ€™t convince them, confuse them.",JOKE
It's been a long time,TIME
what's up?,GREET
Take your time.,TIME
Howâ€™s everything?,GREET
The weather has improved.,WEATHER
It is cold today.,WEATHER
weahter is good!,WEATHER
Why don't we order pizza?,PIZZA
I could go for a nice hot pizza right now.,PIZZA
Do not argue with an idiot. He will drag you down to his level and beat you with experience.,JOKE
Tom ate the whole pizza by himself.,PIZZA
Let's greet our guests.,GREET
What's your favorite pizza topping?,PIZZA
I like BBQ chicken pizza.,PIZZA
how are you?,GREET
It is raining outside.,WEATHER
Have a good time.,TIME
You had plenty of time.,TIME
I need more time,TIME
I'm used to this cold weather.,WEATHER
hows it going,GREET
i want pizza,PIZZA
what temperature is it,WEATHER
is it raining,WEATHER
whats crackin,GREET
im hungry for pizza,PIZZA
i want dinner,PIZZA
hi,GREET
pizza please,PIZZA
can you tell me the time,TIME
whatâ€™s the weather,WEATHER
whats the time,TIME
what time is it jarvis,TIME
is it a shorts or pants day today,WEATHER
is it night yet,TIME
What's the hour,TIME
its dinner time,PIZZA
i want to hear something funny,JOKE
whats up,GREET
What's the hour,TIME
is it cold out,WEATHER
tell me something funny,JOKE
What it is the time,TIME
i need a joke,JOKE
is it a shorts day today,WEATHER
What time it is?,TIME
hear any good jokes lately,JOKE
howdy,GREET
tell me a joke,JOKE
time me,TIME
what time is it,TIME
make me laugh,JOKE
wassuup,GREET
whatâ€™s the temp,WEATHER
is it a shorts day or a pants day today,WEATHER
GREET,GREET
wassup,GREET
hey,GREET
is it nice out,WEATHER
should i wear a jacket,WEATHER
wazzup,GREET
i need to eat dinner,PIZZA
TIME,TIME
please tell me what time it is,TIME
whatâ€™s the weather like,WEATHER
hello,GREET
is it raining cats and dogs,WEATHER
im craving pizza,PIZZA
i need the time,TIME
what time it is?,TIME
what time it is,TIME
what's the temperature,WEATHER
im sad,JOKE
one pie please,PIZZA
can I have one pepperoni and one Hawaiian?,PIZZA
hello jarvis.,GREET
hi,GREET
what is the temperature jarvis?,WEATHER
when is it,TIME
when is it today,TIME
lets hear a wise crack jarvis!,JOKE
is it cold out?,WEATHER
i'd enjoy a quip from you jarvis,JOKE
hey how are you?,GREET
hey how the heck is it going?,GREET
a large veggie and uh maybe a slice or two of meat lovers jarvis,PIZZA
can I order a pizza please?,PIZZA
hit me up with some pizzapie jarvy,PIZZA
hey jarvis hit me up with a cheese pizza,PIZZA
hey,GREET
can you tell me a good joke?,JOKE
when is it right now,TIME
whats good,GREET
is it sunny?,WEATHER
hows the weather?,WEATHER
give me the time please,TIME
hows the weather today?,WEATHER
do I need a sweater?,WEATHER
id like a pizza please,PIZZA
is it too early for me to sleep?,TIME
what its like out today?,WEATHER
what time is it jarvis?,TIME
alright jarvis make me laugh,JOKE
whats up my main man?,GREET
can I have a pie?,PIZZA
can I order some za for take out?,PIZZA
"Jarvis, please tell me a joke.",JOKE
do you know any jokes?,JOKE
what is the hour?,TIME
which time is it right now?,TIME
